 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 W    ,28,2,0,NO,NO,YES,YES,YES,YES
 A    ,38,2,0,YES,YES,YES,NO,YES,YES
 W    ,44,2,0,YES,NO,YES,YES,YES,YES
 W    ,42,2,0,NO,NO,YES,NO,YES,YES
 W    ,62,2,0,NO,NO,YES,YES,YES,NO
 W    ,30,2,0,YES,NO,YES,NO,YES,YES
 W    ,69,2,0,NO,NO,YES,YES,YES,YES
 W    ,32,2,0,YES,NO,NO,NO,YES,YES
 M    ,26,2,0,NO,NO,YES,YES,YES,YES
 W    ,63,2,0,NO,NO,YES,NO,YES,NO
 W    ,87,2,0,YES,YES,YES,YES,YES,NO
 B    ,38,2,0,YES,YES,YES,NO,YES,NO
 W    ,42,2,0,YES,YES,YES,NO,YES,YES
 W    ,33,2,0,NO,NO,NO,NO,YES,NO
 A    ,20,2,0,NO,NO,NO,NO,YES,YES
 A    ,28,2,0,YES,NO,NO,NO,YES,NO
 B    ,47,2,0,NO,NO,NO,NO,NO,NO
 W    ,21,2,0,NO,NO,NO,NO,NO,NO
 M    ,68,2,0,YES,YES,YES,NO,YES,YES
 B    ,37,2,0,NO,NO,NO,NO,YES,YES
 B    ,39,2,0,NO,NO,NO,NO,NO,NO
 U    ,77,2,0,NO,NO,NO,NO,YES,NO
 B    ,45,2,0,NO,NO,NO,NO,NO,YES
 W    ,19,2,0,NO,NO,NO,NO,NO,YES
 W    ,39,2,0,NO,NO,NO,NO,NO,NO
 W    ,19,2,0,NO,NO,NO,NO,NO,NO
 B    ,20,2,0,NO,NO,NO,NO,NO,NO
 W    ,78,2,0,YES,NO,YES,YES,YES,YES
 W    ,46,2,0,YES,YES,YES,YES,YES,NO
 B    ,47,2,0,YES,YES,YES,YES,YES,NO
 O    ,56,2,0,YES,YES,YES,NO,YES,YES
 W    ,48,2,0,YES,NO,NO,NO,YES,YES
 W    ,46,2,0,YES,NO,YES,NO,YES,YES
 W    ,65,2,0,YES,NO,YES,NO,YES,YES
 W    ,65,2,0,YES,YES,YES,NO,YES,YES
 O    ,39,2,0,YES,NO,YES,YES,YES,YES
 B    ,67,2,0,YES,YES,YES,YES,NO,YES
 W    ,64,2,0,YES,NO,YES,NO,YES,YES
 W    ,69,2,0,NO,NO,YES,NO,YES,NO
 B    ,35,2,0,YES,NO,YES,NO,YES,NO
 W    ,37,2,0,YES,NO,YES,YES,YES,YES
 W    ,40,2,0,YES,NO,YES,NO,YES,YES
 B    ,56,2,0,YES,NO,YES,YES,YES,YES
 W    ,40,2,0,YES,YES,YES,NO,YES,YES
 W    ,59,2,0,NO,NO,YES,YES,YES,NO
 B    ,26,2,0,NO,YES,YES,NO,YES,YES
 W    ,29,2,0,YES,YES,YES,YES,YES,YES
 W    ,86,2,0,NO,NO,YES,YES,NO,NO
 W    ,75,2,0,NO,NO,NO,YES,YES,NO
 W    ,42,2,0,NO,NO,NO,NO,YES,YES
 B    ,23,2,0,NO,NO,NO,YES,YES,YES
 W    ,53,2,0,YES,NO,YES,YES,YES,YES
 W    ,56,2,0,NO,NO,NO,NO,YES,YES
 W    ,37,2,0,NO,NO,NO,NO,YES,YES
 W    ,56,2,0,NO,NO,NO,NO,YES,YES
 O    ,66,2,0,NO,NO,NO,NO,YES,NO
 W    ,19,2,0,NO,NO,NO,NO,NO,YES
 O    ,39,2,0,NO,NO,NO,NO,NO,NO
 W    ,22,2,0,NO,NO,NO,NO,NO,NO
 W    ,66,2,0,YES,NO,YES,YES,YES,YES
 W    ,56,2,0,YES,YES,YES,NO,YES,NO
 B    ,38,2,0,YES,NO,NO,NO,YES,NO
 W    ,48,2,0,YES,NO,YES,NO,YES,YES
 B    ,81,2,0,YES,YES,YES,YES,YES,NO
 B    ,40,2,0,YES,NO,YES,YES,YES,YES
 W    ,44,2,0,YES,YES,YES,NO,YES,YES
