id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent ,Y1,Y2,Y3,Y4,Y5,Test
423,1,3,1,35,1,1,0,1,2,2,2,1,1
424,1,1,1,26,1,1,0,2,2,2,2,1,1
425,1,1,1,33,1,1,0,2,2,2,2,2,1
426,1,3,1,19,1,1,0,2,2,2,2,2,1
427,2,1,1,19,1,1,0,2,2,2,2,2,1
428,2,1,1,48,1,1,0,1,2,1,1,1,2
429,1,1,1,61,1,1,0,1,2,1,1,1,1
430,5,3,1,67,1,1,0,2,2,1,1,1,1
431,2,1,1,50,1,1,0,1,1,1,1,1,1
432,2,3,1,68,1,1,0,1,2,1,1,1,1
433,1,3,1,49,1,1,0,1,1,1,2,1,1
434,1,3,1,64,1,1,0,1,2,1,2,1,2
435,1,1,1,69,1,1,0,1,1,1,2,1,2
436,1,1,1,77,1,1,0,1,2,1,1,1,2
437,2,1,1,70,1,1,0,2,2,1,1,1,1
438,2,1,1,92,1,1,0,1,2,1,1,1,1
439,1,1,1,86,1,1,0,1,1,1,1,1,2
440,1,1,1,73,1,1,0,1,2,2,1,1,1
441,1,1,1,34,1,1,0,1,2,1,1,1,1
442,1,1,1,33,1,1,0,1,2,1,1,1,1
443,2,1,1,42,1,1,0,1,2,1,1,1,1
444,1,3,1,33,1,1,0,2,2,1,2,1,2
445,6,3,1,32,1,1,0,1,1,1,2,1,1
446,5,3,1,70,1,1,0,1,1,1,1,1,1
447,1,1,1,31,1,1,0,1,1,1,2,1,2
448,1,1,1,83,1,1,0,1,1,1,2,1,2
449,1,3,1,57,1,1,0,1,2,1,2,1,2
450,2,1,1,49,1,1,0,1,1,1,1,1,1
451,1,1,1,48,1,1,0,1,2,1,1,1,1
452,1,1,1,52,1,1,0,1,2,1,1,1,1
453,3,3,1,55,1,1,0,1,2,1,2,1,1
454,1,3,1,60,1,1,0,1,1,1,1,1,1
455,1,1,1,43,1,1,0,1,1,1,1,1,1
456,1,3,1,55,1,1,0,1,2,1,1,1,1
457,2,1,1,38,1,1,0,1,1,1,2,1,1
458,1,1,1,83,1,1,0,1,2,1,1,1,1
459,1,1,1,58,1,1,0,1,2,1,1,1,1
460,1,3,1,48,1,1,0,1,2,1,2,1,1
461,1,1,1,48,1,1,0,1,2,1,2,1,2
462,1,1,1,53,1,1,0,1,2,1,1,1,1
463,2,1,1,67,1,1,0,1,2,1,1,1,2
464,1,1,1,76,1,1,0,1,2,2,2,1,2
465,1,3,1,22,1,1,0,2,2,2,1,1,2
466,3,1,1,22,1,1,0,2,2,2,1,1,1
467,1,3,1,48,1,1,0,1,2,1,1,1,1
468,1,3,1,54,1,1,0,1,2,1,1,1,1
469,5,3,1,46,1,1,0,1,2,1,1,1,1
470,1,1,1,74,1,1,0,1,1,1,1,1,1
471,2,1,1,54,1,1,0,1,1,1,1,1,1
472,1,1,1,61,1,1,0,1,1,1,1,1,2
473,1,1,1,61,1,1,0,1,2,1,1,1,2
474,1,1,1,46,1,1,0,1,1,1,2,1,2
475,1,1,1,40,1,1,0,1,2,1,1,1,1
476,1,3,1,61,1,1,0,1,2,1,1,1,1
477,2,1,1,30,1,1,0,1,2,1,1,1,1
478,1,3,1,40,1,1,0,1,2,1,1,1,1
479,1,3,1,29,1,1,0,1,1,1,2,2,2
480,1,3,1,34,1,1,0,1,2,1,2,1,1
481,1,1,1,39,1,1,0,1,2,1,2,1,2
482,1,3,1,39,1,1,0,1,2,1,1,1,1
483,1,1,1,58,1,1,0,1,2,1,1,1,1
